MS46522B
!2036101/M1: 20062002
!7/30/2026.2:13:51.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 100HZ
!NUMBER.OF.TRACES: 2
!TRACE:       ,TRACE.1           ,TRACE.2           
!PARAMETER:   ,S21               ,S21               
!PORT:        ,PORT1             ,PORT1             
!GRAPH:       ,LOGMAG.PHASE      ,POLAR.LIN.PHASE   
!SMOOTHING:   ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LINMAG2,PHASE2.DEG
194,7.633202349,-6.439638E+001,167.7753000,7.633202349,-5.891417E-004,0.0001276
195,7.633209849,-6.446898E+001,168.3579000,7.633209849,-5.854951E-004,0.0001206
196,7.633217349,-6.448323E+001,167.8664000,7.633217349,-5.834805E-004,0.0001254
197,7.633224849,-6.441274E+001,168.7791000,7.633224849,-5.901746E-004,0.0001171
198,7.633232349,-6.439565E+001,168.4391000,7.633232349,-5.906314E-004,0.0001208
199,7.633239849,-6.450108E+001,167.9989000,7.633239849,-5.825703E-004,0.0001238
200,7.633247349,-6.451449E+001,167.2948000,7.633247349,-5.801085E-004,0.0001308
201,7.633254849,-6.454552E+001,166.9105000,7.633254849,-5.771529E-004,0.0001342
202,7.633262349,-6.444595E+001,167.5323000,7.633262349,-5.852462E-004,0.0001294
203,7.633269849,-6.455826E+001,167.6578000,7.633269849,-5.780055E-004,0.0001265
204,7.633277349,-6.422936E+001,167.5981000,7.633277349,-6.001744E-004,0.0001320
205,7.633284849,-6.442177E+001,167.4056000,7.633284849,-5.865888E-004,0.0001311
206,7.633292349,-6.428040E+001,166.8799000,7.633292349,-5.949673E-004,0.0001387
207,7.633299849,-6.435882E+001,166.8714000,7.633299849,-5.895992E-004,0.0001375
208,7.633307349,-6.452747E+001,167.3319000,7.633307349,-5.793270E-004,0.0001302
209,7.633314849,-6.440845E+001,166.5029000,7.633314849,-5.853479E-004,0.0001405
210,7.633322349,-6.437110E+001,167.1760000,7.633322349,-5.894876E-004,0.0001342
211,7.633329849,-6.446657E+001,167.3570000,7.633329849,-5.834605E-004,0.0001309
212,7.633337349,-6.442281E+001,167.3918000,7.633337349,-5.864876E-004,0.0001312
213,7.633344849,-6.455530E+001,167.6577000,7.633344849,-5.782019E-004,0.0001265
214,7.633352349,-6.451379E+001,167.5591000,7.633352349,-5.807524E-004,0.0001281
215,7.633359849,-6.461982E+001,167.2858000,7.633359849,-5.730962E-004,0.0001293
216,7.633367349,-6.443389E+001,166.6589000,7.633367349,-5.840153E-004,0.0001385
217,7.633374849,-6.446915E+001,168.3786000,7.633374849,-5.855266E-004,0.0001204
218,7.633382349,-6.452995E+001,167.2847000,7.633382349,-5.790542E-004,0.0001307
219,7.633389849,-6.454481E+001,166.1591000,7.633389849,-5.753906E-004,0.0001418
220,7.633397349,-6.452104E+001,167.2688000,7.633397349,-5.796121E-004,0.0001310
221,7.633404849,-6.446144E+001,166.0788000,7.633404849,-5.807386E-004,0.0001439
222,7.633412349,-6.445795E+001,167.3907000,7.633412349,-5.841164E-004,0.0001307
223,7.633419849,-6.446679E+001,167.3525000,7.633419849,-5.834355E-004,0.0001309
224,7.633427349,-6.449035E+001,166.6588000,7.633427349,-5.802314E-004,0.0001376
225,7.633434849,-6.445142E+001,168.1234000,7.633434849,-5.861806E-004,0.0001233
226,7.633442349,-6.444338E+001,166.9448000,7.633442349,-5.840609E-004,0.0001354
227,7.633449849,-6.437585E+001,166.8126000,7.633449849,-5.883035E-004,0.0001378
228,7.633457349,-6.449043E+001,166.3256000,7.633457349,-5.794159E-004,0.0001410
229,7.633464849,-6.436333E+001,167.3741000,7.633464849,-5.904757E-004,0.0001323
230,7.633472349,-6.431479E+001,166.9006000,7.633472349,-5.926656E-004,0.0001379
231,7.633479849,-6.447442E+001,167.8954000,7.633479849,-5.841362E-004,0.0001253
232,7.633487349,-6.446927E+001,167.2255000,7.633487349,-5.829771E-004,0.0001322
233,7.633494849,-6.423365E+001,166.8488000,7.633494849,-5.981019E-004,0.0001397
234,7.633502349,-6.442544E+001,166.1250000,7.633502349,-5.832669E-004,0.0001441
235,7.633509849,-6.448189E+001,166.6806000,7.633509849,-5.808491E-004,0.0001375
236,7.633517349,-6.446841E+001,167.8333000,7.633517349,-5.844043E-004,0.0001260
237,7.633524849,-6.455725E+001,166.5880000,7.633524849,-5.756104E-004,0.0001373
238,7.633532349,-6.457130E+001,166.3183000,7.633532349,-5.740288E-004,0.0001397
239,7.633539849,-6.437659E+001,165.4979000,7.633539849,-5.849352E-004,0.0001513
240,7.633547349,-6.455141E+001,165.1239000,7.633547349,-5.723000E-004,0.0001520
241,7.633554849,-6.448311E+001,165.9371000,7.633554849,-5.789346E-004,0.0001450
242,7.633562349,-6.448103E+001,166.7612000,7.633562349,-5.810999E-004,0.0001367
243,7.633569849,-6.444827E+001,166.8777000,7.633569849,-5.835732E-004,0.0001360
244,7.633577349,-6.425102E+001,166.6234000,7.633577349,-5.963537E-004,0.0001418
245,7.633584849,-6.461201E+001,165.9900000,7.633584849,-5.705376E-004,0.0001424
246,7.633592349,-6.442283E+001,167.5417000,7.633592349,-5.868266E-004,0.0001296
247,7.633599849,-6.449553E+001,167.3386000,7.633599849,-5.814767E-004,0.0001306
248,7.633607349,-6.452378E+001,166.9264000,7.633607349,-5.786363E-004,0.0001344
249,7.633614849,-6.440194E+001,165.3649000,7.633614849,-5.828794E-004,0.0001522
250,7.633622349,-6.451659E+001,164.7063000,7.633622349,-5.734713E-004,0.0001568
251,7.633629849,-6.442796E+001,166.2266000,7.633629849,-5.833525E-004,0.0001430
252,7.633637349,-6.444035E+001,167.1474000,7.633637349,-5.847398E-004,0.0001334
253,7.633644849,-6.456512E+001,166.3808000,7.633644849,-5.745894E-004,0.0001392
254,7.633652349,-6.430595E+001,164.7944000,7.633652349,-5.877954E-004,0.0001598
255,7.633659849,-6.448241E+001,165.4709000,7.633659849,-5.777822E-004,0.0001497
256,7.633667349,-6.446448E+001,165.3482000,7.633667349,-5.786533E-004,0.0001513
257,7.633674849,-6.442804E+001,165.8615000,7.633674849,-5.824238E-004,0.0001467
258,7.633682349,-6.432098E+001,166.4433000,7.633682349,-5.911248E-004,0.0001425
259,7.633689849,-6.436032E+001,165.7658000,7.633689849,-5.867344E-004,0.0001488
260,7.633697349,-6.458180E+001,167.0266000,7.633697349,-5.750168E-004,0.0001325
261,7.633704849,-6.461651E+001,165.0409000,7.633704849,-5.678078E-004,0.0001517
262,7.633712349,-6.441895E+001,166.8876000,7.633712349,-5.855699E-004,0.0001364
263,7.633719849,-6.459785E+001,165.7518000,7.633719849,-5.708713E-004,0.0001450
264,7.633727349,-6.452886E+001,166.2318000,7.633727349,-5.766276E-004,0.0001413
265,7.633734849,-6.431323E+001,165.9025000,7.633734849,-5.902792E-004,0.0001482
266,7.633742349,-6.446495E+001,166.1700000,7.633742349,-5.807320E-004,0.0001430
267,7.633749849,-6.452012E+001,167.0395000,7.633749849,-5.791447E-004,0.0001333
268,7.633757349,-6.449701E+001,166.5475000,7.633757349,-5.795184E-004,0.0001386
269,7.633764849,-6.448997E+001,164.6735000,7.633764849,-5.751415E-004,0.0001576
270,7.633772349,-6.443427E+001,165.5335000,7.633772349,-5.811571E-004,0.0001499
271,7.633779849,-6.449166E+001,164.7000000,7.633779849,-5.751025E-004,0.0001573
272,7.633787349,-6.444265E+001,165.0140000,7.633787349,-5.792149E-004,0.0001550
273,7.633794849,-6.447007E+001,166.2998000,7.633794849,-5.807122E-004,0.0001416
274,7.633802349,-6.449901E+001,165.2697000,7.633802349,-5.761504E-004,0.0001515
275,7.633809849,-6.449115E+001,165.5803000,7.633809849,-5.774854E-004,0.0001485
276,7.633817349,-6.451647E+001,165.5143000,7.633817349,-5.756335E-004,0.0001487
277,7.633824849,-6.458141E+001,166.2243000,7.633824849,-5.731310E-004,0.0001405
278,7.633832349,-6.445375E+001,165.6808000,7.633832349,-5.802380E-004,0.0001481
279,7.633839849,-6.438076E+001,166.1693000,7.633839849,-5.863865E-004,0.0001444
280,7.633847349,-6.441990E+001,165.0566000,7.633847349,-5.808494E-004,0.0001550
281,7.633854849,-6.442619E+001,165.9357000,7.633854849,-5.827369E-004,0.0001460
282,7.633862349,-6.460122E+001,163.0024000,7.633862349,-5.630425E-004,0.0001721
283,7.633869849,-6.451067E+001,165.8076000,7.633869849,-5.767724E-004,0.0001459
284,7.633877349,-6.422296E+001,165.1537000,7.633877349,-5.944371E-004,0.0001576
285,7.633884849,-6.438600E+001,164.4992000,7.633884849,-5.815789E-004,0.0001613
286,7.633892349,-6.447522E+001,165.8341000,7.633892349,-5.791989E-004,0.0001462
287,7.633899849,-6.461938E+001,164.9857000,7.633899849,-5.674739E-004,0.0001522
288,7.633907349,-6.435497E+001,164.6538000,7.633907349,-5.840958E-004,0.0001603
289,7.633914849,-6.435715E+001,166.4361000,7.633914849,-5.886499E-004,0.0001420
290,7.633922349,-6.470532E+001,164.4980000,7.633922349,-5.605836E-004,0.0001555
291,7.633929849,-6.438287E+001,163.3269000,7.633929849,-5.783658E-004,0.0001732
292,7.633937349,-6.457999E+001,164.1384000,7.633937349,-5.677295E-004,0.0001613
293,7.633944849,-6.436848E+001,165.0831000,7.633944849,-5.843701E-004,0.0001557
294,7.633952349,-6.444572E+001,165.4676000,7.633952349,-5.802189E-004,0.0001504
295,7.633959849,-6.448486E+001,165.4921000,7.633959849,-5.776748E-004,0.0001495
296,7.633967349,-6.450482E+001,165.0714000,7.633967349,-5.752378E-004,0.0001534
297,7.633974849,-6.440239E+001,164.1662000,7.633974849,-5.795372E-004,0.0001644
298,7.633982349,-6.438907E+001,165.1353000,7.633982349,-5.831279E-004,0.0001548
299,7.633989849,-6.453835E+001,166.0757000,7.633989849,-5.756110E-004,0.0001427
300,7.633997349,-6.451617E+001,164.9908000,7.633997349,-5.742700E-004,0.0001540
